
=== google-t5/t5-base ===
They're originally from Crete. They're a seafaring people.Sie stammen ursprünglich aus Crete. Sie sind ein seafaringer Mensch.Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"und die kriminellen Behörden sind tatsächlich Tide \"liquid gold.\"Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Chinesisch ist immer cheating, right?             Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Sie haben alle eine Vorstellung davon, wie die Antwort aussehen könnte.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Für die, die mehr sehen wollen, habe ich in der Buchhandlung in der obersten Etage ein Buch.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass insgesamt 200 Mio. CAPTCHAs vorhanden sind.etwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und später am gleichen Tag diese Aufnahmen zu sehen.Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich habe es deshalb gezeigt, weil --              Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,unser größter Fotograf hat 350 Fotos aufgenommen, den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          mit undrogensensitivem Syndrom.                   und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    Verständnis dafür, wie das Gehirn die Bewegung des Körpers kontrolliert?zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,Ich konnte nicht wirklich die Antworten finden, die ich gesucht habe,fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          weil sie zurückgegangen ist —                     denn sie schlug zurück -                          
very simple language, beautifully typeset.        sehr einfache Sprache, sehr typisch.              wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           Wie wäre es, wenn wir unsere Telefone hätten?     Wäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   und es fühlte sich an                             Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,in der Rohrleitung ein Loch drilliert, einige unserer Feuerzeuge beseitigt,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    So, es gibt alle Arten von Bakterien auf der Welt Es gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        während er seine Arbeit begann,                   aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und sie zwischen sich und der Person, die sie interviewt hat, legen.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             50,000 Dollar bei den Steuern sparen —            jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                Ich werde jeden dieser Begriffe durchgehen.       auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Das ist das Ziel des Fortschritts.                Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Die Robotik hatte wirklich eine Art von Interaktion mit Dingen —Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es handelt sich nicht um eine religiöse Sache.    Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe Sie, North Carolina.                     Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 stehen still                                      liegen still da                                   
Again, we think that bacteria invented that,      Wir sind der Auffassung, dass Bakterien das geschaffen haben,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie erhalten eine Synergie von Ideen              und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Ich weiß aber nicht, wie es sich anfühlt —        und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       sie lernen Werkzeuge zur Lösung ihrer Familienkonflikte zu nutzenMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler, komplexe psychiatrische Störungen zu behandelnund es ein Fehler ist, komplexe psychische Störungen
BLEU score: 13.893813969296078

=== Tanhim/translation-En2De ===
source                                            translation                                       reference                                         
to the atom that it hits.                         auf das Atom, das es trifft.                      vom Atom, auf welches er trifft.                  
People are more likely to support the use         Die Menschen werden die Nutzung eher unterstützen.Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Das ist der Grund, warum in den Verhandlungen, oft, wenn die Dinge hart werden,und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         warum die Gebäude versagt haben.                  warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            virtuell so und zeigt Menschen                    wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        und ich sehe mir professionell YouTube-Videos an. Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     wir lebten für all die Jahre,                     lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F -- zu vertraut.                   Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 die etwa 12.000 Jahre alt ist.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war keine große Sache, aber es war eine Latrine.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Selbst inmitten schrecklicher Zerstörung und Tod und Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              zu all den hellen und blendenden Dingen,          all die hellen und begeisternden Dinge,           
they even do little stunts.                       Sie machen sogar kleine Stunts.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste sah vor einiger Zeit so aus.        Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  aber auch als politisches Programm.               sondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.kommt direkt aus der Pilzwolke, die nach oben geht.direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht von Montag bis Freitag.  Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              von allen anderen Formen des Lebens kombiniert.   aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Und die Geschichte des Intermittent Resorption Kühlschrank.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           \"Mond ist eins mit Gott.                         \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Ziehen Sie die Brille aus!                        Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        aber sie verwenden die gleichen Flügel, um um umzudrehenaber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  völlig versuchen, zu erfassen, was Kino für mich ist,versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       um ein wertloses Artefakt zu sein.                als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              und sie wollten niemanden lassen                  und sie würden sie sich von niemandem             
to mimic a movement or a facial expression,       eine Bewegung oder einen Gesichtsausdruck nachzuahmen,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 ein riesiger Pilz.                                ein riesiger Pilz.                                
and share ideas for free.\"                       und teilen Ideen kostenlos.\"                     und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,Die US-Marine hatte ein damals geheimes System,   verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Menschen, die Spenden machten --Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                zusehen, wie die Menschen arbeiten,               zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    Es ist berühmt für seine [Strand-] Volleyballplätze,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digital aktiviert und transparent,                digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich werde Ihnen einen kleinen Hinweis geben.      gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.und so stärkt es die Gesundheit der Kolonie und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               und es schlafen tatsächlich vier Personen.        können vier Leute darin schlafen.                 
I'll tell you: 158.                               Ich sage Ihnen: 158.                              Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Filz- und Papier-Wasserflaschen,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         Wir sprachen also über die Unterschiede.          Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unvorhersehbar                          Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.dass der Westen in Bezug auf technologische Innovation immer noch führend ist.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          Also gerade jetzt, in meinem Labor, kombinieren wirIn meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         dass in den nächsten 10 Jahren                    dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Dies wurde immer wieder reproduziert.             Diese bedingten Motivatoren --                    
and we're the caterpillars                        und wir sind die Raupen                           und wir sind die Raupen,                          
the dog is a surrogate for you,                   der Hund ist eine Leihmutter für Sie,             der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      Es wäre nichts passiert.                          Die Beziehung war eins-zu-eins.                   
not for use in patients.                          nicht zur Anwendung bei Patienten bestimmt.       nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie verwenden tatsächlich die Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          wir verschmutzen so viel                          verursachen wir so viel Verschmutzung,            
the girl means to mean,                           das Mädchen bedeutet zu meinen,                   Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         und 18 davon sind Fledermäuse.                    18 davon sind Fledermäuse.                        
and you need a controller,                        und Sie brauchen einen Controller,                und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,der die alten Mosaiktechniken des Vatikans studiert hatte,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Hunderttausende von DNA-Proben von Menschen auf der ganzen Welt.\"und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihren Sauerstoffbedarf senken,         und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Eines der Dinge, die ich aufzeige, ist, dass      Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Schauen Sie sich das Zimmer an: Stühle, Holz,     Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 Also ein enormer Wissensfundus                    Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                soll drei Zeitskalen miteinander in Einklang bringen:und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es einfach [mit] Nüssen oder so.       Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                verschwinden in meinem Gesicht.                   vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es hier oben als einen einzigen Punkt bezeichnet.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Das ist, wie ich meine, eine nette Sache.         Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      die shuttle angestrahlt worden ist                die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie stammen ursprünglich aus Kreta, sie sind Seefahrer.Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"und Kriminelle nennen tatsächlich Tide \"liquid gold.\"Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Chinesen betrügen immer, oder?                    Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Und Sie alle haben eine Idee in Ihrem Kopf der Antwort.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich mein Buch unten in der Buchhandlung.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass ca. 200 Millionen CAPTCHAsetwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und das Video später an diesem Tag zu sehen       Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich zeige es, weil...                             Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,unser produktivster Fotograf hat ca. 350 Fotos aufgenommen,den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          die Androgen-Insensitivitätssyndrom hat.          und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    Verständnis dafür, wie das Gehirn die Bewegung kontrolliert?zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,und ich konnte nicht wirklich die Antworten finden, die ich suchte,fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          weil sie zurückgekommen ist --                    denn sie schlug zurück -                          
very simple language, beautifully typeset.        sehr einfache Sprache, wunderschön typset.        wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           Also wäre es nicht erstaunlich, wenn unsere TelefoneWäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   und ich fühlte mich, als ob ich auf               Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,gebohrt ein Loch in der Rückseite des Rohrs, nahm einige unserer Feuerwerkskörper,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    Also, es gibt alle Arten von Bakterien auf der ErdeEs gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        aber während er begann, seine Arbeit zu tun,      aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und stellen sie zwischen sich und der Person, die sie interviewt.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             sparen 50.000 Dollar auf ihre Steuern --          jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                und ich werde alle diese durchgehen.              auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Darum geht es bei Fortschritten.                  Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir uns nie getrennt hatten,                   Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Robotics war wirklich über die Interaktion mit Dingen,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist keine kultische Sache.                     Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe dich an, North Carolina.                 Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 sitzen still                                      liegen still da                                   
Again, we think that bacteria invented that,      Auch hier glauben wir, dass Bakterien erfunden, dass,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie erhalten einige Synergie von Ideen            und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Aber ich weiß nur, dass die Natur --              und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       Lernwerkzeuge zur Lösung ihrer familiären KonflikteMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler zu versuchen, komplexe psychiatrische Störungen zu behandelnund es ein Fehler ist, komplexe psychische Störungen
BLEU score: 22.012540234030432

=== facebook/m2m100_418M ===
source                                            translation                                       reference                                         
to the atom that it hits.                         den Atom, den er schlägt.                         vom Atom, auf welches er trifft.                  
People are more likely to support the use         Menschen sind wahrscheinlicher, die Verwendung zu unterstützenDie Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Deshalb in den Verhandlungen, oft, wenn die Dinge schwierig werden,und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         Warum die Gebäude scheitern?                      warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            praktisch wie das und zeigen Menschen             wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        Und ich sehe professionell YouTube-Videos.        Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     Wir haben all diese Jahre gelebt,                 lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F - zu vertraut.                    Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 Das ist etwa 12.000 Jahre alt.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war keine große Sache, aber es war eine Latrine.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Auch inmitten der schrecklichen Zerstörung und des Todes und des Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              für alle glänzenden und glänzenden Dinge,         all die hellen und begeisternden Dinge,           
they even do little stunts.                       Sie machen sogar kleine Stunts.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste sah vor kurzem so etwas aus.        Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  Aber auch als politisches Programm.               sondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.Sie kommen direkt von der Pilze, die aufsteht, herab.direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht Montag bis Freitag.      Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              von allen anderen Lebensformen kombiniert.        aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Und die Geschichte des Intermittent Absorption Refrigerator.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           „Der Mond ist ein mit Gott.                       \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Entfernen Sie die Gögel, Entfernen Sie die Gögel! Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Der Tempel von Dendur am Metropolitan in New York - es ist ein sehr dunkler Ort.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        Aber sie verwenden die gleichen Flügel, um überfliegenaber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  Ich versuche ganz, zu erfassen, was für mich ein Kino ist,versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       Um ein wertloses Kunstwerk zu sein.               als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              Und sie wollten niemanden liefern                 und sie würden sie sich von niemandem             
to mimic a movement or a facial expression,       um eine Bewegung oder eine Gesichtsausdruck zu imitieren,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 Ein riesiger Muskel.                              ein riesiger Pilz.                                
and share ideas for free.\"                       und teilen Ideen kostenlos.“                      und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,Die US-Marine hatte ein System, das damals geheim war,verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Menschen, die Spenden gemacht haben -Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                Wenn man die Leute betrachtet, die arbeiten,      zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    Es ist berühmt für seine [Beach] Volleyball Courts,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digitalisiert und transparent,                    digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich werde dir einen kleinen Hinweis geben.        gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.Und so stärkt es die Kolonialgesundheit und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               Und es schläft eigentlich vier Menschen.          können vier Leute darin schlafen.                 
I'll tell you: 158.                               Ich werde dir sagen: 158.                         Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Gefühl und Papierwasserflaschen,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         Wir reden also über die Unterschiede.             Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unvorhersehbar                          Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.Das Westen ist noch im Hinblick auf technologische Innovationen führend.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          So jetzt, in meinem Labor, sind wir zusammen      In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         Das in den nächsten zehn Jahren                   dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Das wird immer wieder wiederholt                  Diese bedingten Motivatoren --                    
and we're the caterpillars                        Und wir sind die Caterpillars                     und wir sind die Raupen,                          
the dog is a surrogate for you,                   Der Hund ist ein Surrogat für dich,               der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      Nichts hätte passiert.                            Die Beziehung war eins-zu-eins.                   
not for use in patients.                          Nicht für den Einsatz bei Patienten.              nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie verwenden tatsächlich die Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          Wir verunreinigen so viel                         verursachen wir so viel Verschmutzung,            
the girl means to mean,                           Das Mädchen bedeutet zu sagen,                    Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         18 davon sind Kämpfe.                             18 davon sind Fledermäuse.                        
and you need a controller,                        Und du brauchst einen Kontroller,                 und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,Wer die alten Vatikanischen Mosaiktechniken studiert hat,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Hunderte von Tausenden von DNA-Proben von Menschen auf der ganzen Welt."und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihre Nachfrage nach Sauerstoff senken, und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Eines der Dinge, die ich anzeige, ist, dass       Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Schauen Sie sich um das Zimmer an: Stühle, Holz,  Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 So ein riesiges Wissensfonds                      Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                Es ist, drei Zeitskala zu vereinbaren:            und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es nur mit Nüsse oder etwas.           Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                verschwinden in meinem Gesicht.                   vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als ein einziges Punkt hier aufgelegt.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Es ist, ich stimme zu, eine schöne Sache zu tun.  Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      Das war Shuttle Loomed                            die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie stammen ursprünglich aus Kreta. sie sind ein Seefahrer.Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"Und die Verbrecher nennen tatsächlich Tide ‚Lichid Gold‘.Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Die Chinesen lügen immer, oder?                   Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Und Sie alle haben eine Idee in Ihrem Kopf der Antwort.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich meine Buchunterlagen im Buchhandel.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs wird herausgefunden, dass etwa 200 Millionen CAPTCHAetwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und das Video später an diesem Tag ansehen        Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich werde es zeigen, weil -                       Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,Unser prolifierter Fotograf hat rund 350 Fotos aufgenommen.den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          Menschen mit Androgeninsensitivitätssyndrom.      und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    Wissen Sie, wie das Gehirn Bewegung kontrolliert? zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,Und ich konnte nicht wirklich die Antworten finden, die ich suchte,fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          Denn sie kehrte zurück -                          denn sie schlug zurück -                          
very simple language, beautifully typeset.        sehr einfache Sprache, wunderschön typiset.       wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           So wäre es nicht erstaunlich, wenn unsere TelefoneWäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   Und ich fühlte, als ob ich auf                    Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,ein Loch in der Rückseite der Pipe, nahm einige unserer Feuerwehrer,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    So gibt es alle Arten von Bakterien auf der Erde  Es gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        Aber als er seine Arbeit begann,                  aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und sie zwischen sich selbst und dem, der sie interviewt.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             50 000 Dollar auf ihre Steuern sparen -           jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                Und ich werde durch jede dieser gehen.            auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    So geht es um Fortschritte.                       Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Robotik war wirklich über die Interaktion mit den Dingen gewesen,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist keine kultische Sache. (Lachen)            Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe dich an, North Carolina.                 Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 Sie sitzen noch                                   liegen still da                                   
Again, we think that bacteria invented that,      Wieder, wir glauben, dass Bakterien das erfunden haben,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
